candidate_id	source_type	title	url	publisher	discovered_at	relevance_reason	license_guess	status	reviewer_notes
hf-winterforeststump-10-k_sec_filings	huggingface_dataset	winterForestStump/10-K_sec_filings	https://huggingface.co/datasets/winterForestStump/10-K_sec_filings	winterForestStump	2026-06-03T20:25:00.172887+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-memgpt-example-sec-filings	huggingface_dataset	MemGPT/example-sec-filings	https://huggingface.co/datasets/MemGPT/example-sec-filings	MemGPT	2026-06-03T20:25:00.172948+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-hexscr-sec-filings	huggingface_dataset	hexscr/sec-filings	https://huggingface.co/datasets/hexscr/sec-filings	hexscr	2026-06-03T20:25:00.172979+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	MIT license per Hugging Face card	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-deerfieldgreen-stk-sec-filings	huggingface_dataset	deerfieldgreen/stk-sec-filings	https://huggingface.co/datasets/deerfieldgreen/stk-sec-filings	deerfieldgreen	2026-06-03T20:25:00.173003+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-kellyhongg-sec_filings	huggingface_dataset	kellyhongg/sec_filings	https://huggingface.co/datasets/kellyhongg/sec_filings	kellyhongg	2026-06-03T20:25:00.173030+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-sicheng-chroma-sec-filings	huggingface_dataset	Sicheng-Chroma/sec-filings	https://huggingface.co/datasets/Sicheng-Chroma/sec-filings	Sicheng-Chroma	2026-06-03T20:25:00.173054+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-juand-r-ai-sec-10k-filings-since-2020	huggingface_dataset	juand-r/ai-sec-10k-filings-since-2020	https://huggingface.co/datasets/juand-r/ai-sec-10k-filings-since-2020	juand-r	2026-06-03T20:25:00.173080+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-derivedfunction01-sec-filings-snippets	huggingface_dataset	DerivedFunction01/sec-filings-snippets	https://huggingface.co/datasets/DerivedFunction01/sec-filings-snippets	DerivedFunction01	2026-06-03T20:25:00.177294+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	apache-2.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-kapilrao-sec_filings_1994_2024	huggingface_dataset	kapilrao/SEC_filings_1994_2024	https://huggingface.co/datasets/kapilrao/SEC_filings_1994_2024	kapilrao	2026-06-03T20:25:00.177342+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-carrierone-verilex-sec-filings	huggingface_dataset	carrierone/verilex-sec-filings	https://huggingface.co/datasets/carrierone/verilex-sec-filings	carrierone	2026-06-03T20:25:00.177373+00:00	Matched Hugging Face dataset query 'sec filings' for finance/NLP monitoring.	cc-by-4.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-openfinal-financial_question_answering	huggingface_dataset	OpenFinAL/Financial_Question_Answering	https://huggingface.co/datasets/OpenFinAL/Financial_Question_Answering	OpenFinAL	2026-06-03T20:25:00.454102+00:00	Matched Hugging Face dataset query 'financial question answering' for finance/NLP monitoring.	apache-2.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-jlh-ibm-earnings_call	huggingface_dataset	jlh-ibm/earnings_call	https://huggingface.co/datasets/jlh-ibm/earnings_call	jlh-ibm	2026-06-03T20:25:00.808513+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	cc0-1.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-soumakchak-earnings_call_dataset	huggingface_dataset	soumakchak/earnings_call_dataset	https://huggingface.co/datasets/soumakchak/earnings_call_dataset	soumakchak	2026-06-03T20:25:00.808554+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-lamini-earnings-calls-qa	huggingface_dataset	lamini/earnings-calls-qa	https://huggingface.co/datasets/lamini/earnings-calls-qa	lamini	2026-06-03T20:25:00.808578+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	cc-by-4.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-islam23-earnings-calls-qa-preprocessed	huggingface_dataset	islam23/earnings-calls-qa-preprocessed	https://huggingface.co/datasets/islam23/earnings-calls-qa-preprocessed	islam23	2026-06-03T20:25:00.808596+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-jlawi11-formatted-earnings-calls	huggingface_dataset	JLawI11/formatted-earnings-calls	https://huggingface.co/datasets/JLawI11/formatted-earnings-calls	JLawI11	2026-06-03T20:25:00.808616+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-soumakchak-earnings_call_transcript_lite	huggingface_dataset	soumakchak/earnings_call_transcript_lite	https://huggingface.co/datasets/soumakchak/earnings_call_transcript_lite	soumakchak	2026-06-03T20:25:00.808634+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-awinml-earnings_calls_transcripts	huggingface_dataset	awinml/earnings_calls_transcripts	https://huggingface.co/datasets/awinml/earnings_calls_transcripts	awinml	2026-06-03T20:25:00.808653+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-awinml-lamini_earnings_calls_eval	huggingface_dataset	awinml/lamini_earnings_calls_eval	https://huggingface.co/datasets/awinml/lamini_earnings_calls_eval	awinml	2026-06-03T20:25:00.808672+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	MIT license per Hugging Face card	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-yeong-hwan-2024-earnings-call-transcript	huggingface_dataset	yeong-hwan/2024-earnings-call-transcript	https://huggingface.co/datasets/yeong-hwan/2024-earnings-call-transcript	yeong-hwan	2026-06-03T20:25:00.808689+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	Check dataset card and original source	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-sohomghosh-mimic_multi-modal_indian_earnings_calls_dataset	huggingface_dataset	sohomghosh/MiMIC_Multi-Modal_Indian_Earnings_Calls_Dataset	https://huggingface.co/datasets/sohomghosh/MiMIC_Multi-Modal_Indian_Earnings_Calls_Dataset	sohomghosh	2026-06-03T20:25:00.808709+00:00	Matched Hugging Face dataset query 'earnings call' for finance/NLP monitoring.	cc-by-nc-sa-4.0	candidate	Needs dataset-card review, source provenance, task fit, and leakage-risk note.
hf-model-prosusai-finbert	huggingface_model	ProsusAI/finbert	https://huggingface.co/ProsusAI/finbert	ProsusAI	2026-06-03T20:25:01.321171+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-yiyanghkust-finbert-tone	huggingface_model	yiyanghkust/finbert-tone	https://huggingface.co/yiyanghkust/finbert-tone	yiyanghkust	2026-06-03T20:25:01.321265+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-keiraz14-finetuned-finbert	huggingface_model	Keiraz14/finetuned-finbert	https://huggingface.co/Keiraz14/finetuned-finbert	Keiraz14	2026-06-03T20:25:01.321303+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-lhf-finbert-regressor	huggingface_model	LHF/finbert-regressor	https://huggingface.co/LHF/finbert-regressor	LHF	2026-06-03T20:25:01.321335+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-leveragex-finbert-wechsel-korean	huggingface_model	LeverageX/finbert-wechsel-korean	https://huggingface.co/LeverageX/finbert-wechsel-korean	LeverageX	2026-06-03T20:25:01.321370+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: fill-mask.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-shanny-finbert	huggingface_model	Shanny/FinBERT	https://huggingface.co/Shanny/FinBERT	Shanny	2026-06-03T20:25:01.321399+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: fill-mask.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bergr7-finbert_sec	huggingface_model	bergr7/finbert_sec	https://huggingface.co/bergr7/finbert_sec	bergr7	2026-06-03T20:25:01.321428+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-cgou-fin_bert-v1-finetuned-squad	huggingface_model	cgou/fin_BERT-v1-finetuned-squad	https://huggingface.co/cgou/fin_BERT-v1-finetuned-squad	cgou	2026-06-03T20:25:01.321462+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-fergusq-finbert-finnsentiment	huggingface_model	fergusq/finbert-finnsentiment	https://huggingface.co/fergusq/finbert-finnsentiment	fergusq	2026-06-03T20:25:01.321501+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-ipuneetrathore-bert-base-cased-finetuned-finbert	huggingface_model	ipuneetrathore/bert-base-cased-finetuned-finBERT	https://huggingface.co/ipuneetrathore/bert-base-cased-finetuned-finBERT	ipuneetrathore	2026-06-03T20:25:01.321533+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-kurianbenoy-finbert-tone-finetuned-imdb	huggingface_model	kurianbenoy/finbert-tone-finetuned-imdb	https://huggingface.co/kurianbenoy/finbert-tone-finetuned-imdb	kurianbenoy	2026-06-03T20:25:01.321565+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-philschmid-finbert-pretrain-yiyanghkust	huggingface_model	philschmid/finbert-pretrain-yiyanghkust	https://huggingface.co/philschmid/finbert-pretrain-yiyanghkust	philschmid	2026-06-03T20:25:01.321593+00:00	Matched Hugging Face model query 'finbert' for finance AI monitoring; pipeline tag: fill-mask.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-oferweintraub-bert-base-finance-sentiment-noisy-search	huggingface_model	oferweintraub/bert-base-finance-sentiment-noisy-search	https://huggingface.co/oferweintraub/bert-base-finance-sentiment-noisy-search	oferweintraub	2026-06-03T20:25:01.629008+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-financeinc-auditor_sentiment_finetuned	huggingface_model	FinanceInc/auditor_sentiment_finetuned	https://huggingface.co/FinanceInc/auditor_sentiment_finetuned	FinanceInc	2026-06-03T20:25:01.629071+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-pl-fast	huggingface_model	bardsai/finance-sentiment-pl-fast	https://huggingface.co/bardsai/finance-sentiment-pl-fast	bardsai	2026-06-03T20:25:01.629105+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-pl-base	huggingface_model	bardsai/finance-sentiment-pl-base	https://huggingface.co/bardsai/finance-sentiment-pl-base	bardsai	2026-06-03T20:25:01.629136+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-nickwong64-bert-base-uncased-finance-sentiment	huggingface_model	nickwong64/bert-base-uncased-finance-sentiment	https://huggingface.co/nickwong64/bert-base-uncased-finance-sentiment	nickwong64	2026-06-03T20:25:01.629165+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-rashidnlp-finance-sentiment-classification	huggingface_model	RashidNLP/Finance-Sentiment-Classification	https://huggingface.co/RashidNLP/Finance-Sentiment-Classification	RashidNLP	2026-06-03T20:25:01.629196+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-zh-fast	huggingface_model	bardsai/finance-sentiment-zh-fast	https://huggingface.co/bardsai/finance-sentiment-zh-fast	bardsai	2026-06-03T20:25:01.629305+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-zh-base	huggingface_model	bardsai/finance-sentiment-zh-base	https://huggingface.co/bardsai/finance-sentiment-zh-base	bardsai	2026-06-03T20:25:01.629343+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-fr-base	huggingface_model	bardsai/finance-sentiment-fr-base	https://huggingface.co/bardsai/finance-sentiment-fr-base	bardsai	2026-06-03T20:25:01.629372+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-de-base	huggingface_model	bardsai/finance-sentiment-de-base	https://huggingface.co/bardsai/finance-sentiment-de-base	bardsai	2026-06-03T20:25:01.629406+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-es-base	huggingface_model	bardsai/finance-sentiment-es-base	https://huggingface.co/bardsai/finance-sentiment-es-base	bardsai	2026-06-03T20:25:01.629435+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-bardsai-finance-sentiment-ja-base	huggingface_model	bardsai/finance-sentiment-ja-base	https://huggingface.co/bardsai/finance-sentiment-ja-base	bardsai	2026-06-03T20:25:01.629464+00:00	Matched Hugging Face model query 'finance sentiment' for finance AI monitoring; pipeline tag: text-classification.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-mncai-financial_embedding_model	huggingface_model	mncai/financial_embedding_model	https://huggingface.co/mncai/financial_embedding_model	mncai	2026-06-03T20:25:01.934220+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-anhtuansh-halong_embedding-financial-matryoshka-5e	huggingface_model	anhtuansh/halong_embedding-Financial-Matryoshka-5e	https://huggingface.co/anhtuansh/halong_embedding-Financial-Matryoshka-5e	anhtuansh	2026-06-03T20:25:01.934265+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-anhtuansh-halong-embedding-financial-matryoshka-5e	huggingface_model	anhtuansh/halong-embedding-Financial-Matryoshka-5e	https://huggingface.co/anhtuansh/halong-embedding-Financial-Matryoshka-5e	anhtuansh	2026-06-03T20:25:01.934291+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-anhtuansh-halong-embedding-financial-matryoshka-5e-11k	huggingface_model	anhtuansh/halong-embedding-Financial-Matryoshka-5e-11k	https://huggingface.co/anhtuansh/halong-embedding-Financial-Matryoshka-5e-11k	anhtuansh	2026-06-03T20:25:01.934319+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-anhtuansh-halong_embedding-financial-matryoshka-1e-200k	huggingface_model	anhtuansh/halong_embedding-Financial-Matryoshka-1e-200k	https://huggingface.co/anhtuansh/halong_embedding-Financial-Matryoshka-1e-200k	anhtuansh	2026-06-03T20:25:01.934343+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-anhtuansh-halong_embedding-financial-matryoshka-2e-11k	huggingface_model	anhtuansh/halong_embedding-Financial-Matryoshka-2e-11k	https://huggingface.co/anhtuansh/halong_embedding-Financial-Matryoshka-2e-11k	anhtuansh	2026-06-03T20:25:01.934377+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-ng3owb-financial_embedding_model_balanced	huggingface_model	ng3owb/financial_embedding_model_balanced	https://huggingface.co/ng3owb/financial_embedding_model_balanced	ng3owb	2026-06-03T20:25:01.934395+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-qcsun-financial-embedding	huggingface_model	qcsun/financial-embedding	https://huggingface.co/qcsun/financial-embedding	qcsun	2026-06-03T20:25:01.934415+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: sentence-similarity.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-cindy415-financial_embedding	huggingface_model	cindy415/financial_embedding	https://huggingface.co/cindy415/financial_embedding	cindy415	2026-06-03T20:25:01.934432+00:00	Matched Hugging Face model query 'financial embedding' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-ehekaanldk-flan-t5-large-financial-phrasebank-lora-nlp	huggingface_model	ehekaanldk/flan-t5-large-financial-phrasebank-lora-NLP	https://huggingface.co/ehekaanldk/flan-t5-large-financial-phrasebank-lora-NLP	ehekaanldk	2026-06-03T20:25:02.514715+00:00	Matched Hugging Face model query 'financial nlp' for finance AI monitoring; pipeline tag: model.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
hf-model-nlp-feup-da-mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis	huggingface_model	NLP-FEUP/DA-mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis	https://huggingface.co/NLP-FEUP/DA-mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis	NLP-FEUP	2026-06-03T20:25:02.514861+00:00	Matched Hugging Face model query 'financial nlp' for finance AI monitoring; pipeline tag: fill-mask.	Check model card license and upstream training data terms	candidate	Needs model-card, license, task fit, finance adaptation, benchmark, and deployment-risk review.
